"REF_DATE","GEO","DGUID","Indicator","Industry","Authority","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961","Prince Edward Island","2016A000211","Intermediate consumption","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001809029","4.4.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Intermediate consumption","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001809030","4.4.1.2.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Intermediate consumption","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001809065","4.4.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Intermediate consumption","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809066","4.4.2.2.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Gross value added","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001809101","4.5.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Gross value added","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001809102","4.5.1.2.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Gross value added","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001809137","4.5.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Gross value added","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809138","4.5.2.2.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Domestic production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808815","5.1.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Domestic production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808816","5.1.1.2.0.0.0.0.0.0","1","","","","0"
"1961","Nova Scotia","2016A000212","Domestic production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808851","5.1.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Domestic production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808852","5.1.2.2.0.0.0.0.0.0","3","","","","0"
"1961","Nova Scotia","2016A000212","Domestic market production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808887","5.2.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Domestic market production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808888","5.2.1.2.0.0.0.0.0.0","1","","","","0"
"1961","Nova Scotia","2016A000212","Domestic market production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808923","5.2.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Domestic market production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808924","5.2.2.2.0.0.0.0.0.0","3","","","","0"
"1961","Nova Scotia","2016A000212","Domestic own-use production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808959","5.3.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Domestic own-use production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808960","5.3.1.2.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Domestic own-use production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808995","5.3.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Domestic own-use production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808996","5.3.2.2.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Intermediate consumption","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001809031","5.4.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Intermediate consumption","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001809032","5.4.1.2.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Intermediate consumption","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001809067","5.4.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Intermediate consumption","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809068","5.4.2.2.0.0.0.0.0.0","1","","","","0"
"1961","Nova Scotia","2016A000212","Gross value added","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001809103","5.5.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Gross value added","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001809104","5.5.1.2.0.0.0.0.0.0","1","","","","0"
"1961","Nova Scotia","2016A000212","Gross value added","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001809139","5.5.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Nova Scotia","2016A000212","Gross value added","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809140","5.5.2.2.0.0.0.0.0.0","2","","","","0"
"1961","New Brunswick","2016A000213","Domestic production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808817","6.1.1.1.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Domestic production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808818","6.1.1.2.0.0.0.0.0.0","2","","","","0"
"1961","New Brunswick","2016A000213","Domestic production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808853","6.1.2.1.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Domestic production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808854","6.1.2.2.0.0.0.0.0.0","1","","","","0"
"1961","New Brunswick","2016A000213","Domestic market production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808889","6.2.1.1.0.0.0.0.0.0","0","","","","0"
"1961","New Brunswick","2016A000213","Domestic market production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808890","6.2.1.2.0.0.0.0.0.0","1","","","","0"
